Latitude,Longitude,Date,temp,nppv,mld,dic,sal,o2,ph,nh4,chl,phyc,no3,po4,id,Closest_coast	,Region
39.9375,9.75,2015-07-31,26.860453,6.91144,11.884168,2.329694,38.238125,215.69383,7.9578767,0.14722992,0.03484532,0.2100586,0.59558827,0.009172753,0073-MS00370_TR03,5.556,Sardegna
39.9375,9.833334,2015-07-31,27.304981,7.386886,11.895693,2.3255253,38.202213,214.29152,7.952358,0.14613056,0.036364254,0.21624082,0.5831967,0.009403418,0073-MS00370_TR06,11.112,Sardegna
39.9375,9.958334,2015-07-31,27.699749,8.079082,11.9021845,2.32379,38.16456,212.15677,7.9489284,0.14498039,0.03921856,0.22877322,0.5700264,0.009703364,0073-MS00370_TR12,22.224,Sardegna
40.895836,8.375,2015-07-31,26.636389,9.439546,11.708285,2.3254864,38.09348,212.81964,7.9615226,0.15464407,0.048319068,0.292224,0.67884874,0.010782274,0182-MS01070_TR03,5.556,Sardegna
40.9375,8.416667,2015-07-31,26.562054,9.172945,11.706756,2.3214636,38.08283,212.54105,7.9624686,0.15528522,0.046816103,0.2860058,0.6767133,0.010730035,0182-MS01070_TR06,11.112,Sardegna
41.020836,8.416667,2015-07-31,26.508461,9.158028,11.744662,2.3129764,38.07646,212.53897,7.9623976,0.1542921,0.046619937,0.2869253,0.6602919,0.010604427,0182-MS01070_TR12,22.224,Sardegna
44.645836,12.375001,2015-07-31,27.09615,80.87552,12.017977,2.426439,33.979954,226.3223,7.97784,1.3677489,0.6164458,2.9012904,15.52205,0.10132377,1004,10.0,Emilia-Romagna
44.270836,12.541667,2015-07-31,27.420216,53.425125,11.949488,2.442783,34.465282,228.68687,7.994535,1.2523124,0.398918,1.7647414,10.699504,0.044722784,1014,10.0,Emilia-Romagna
44.145836,12.666667,2015-07-31,27.451134,47.530895,12.063082,2.481661,34.51863,232.53503,7.9953575,1.2620212,0.34086695,1.524281,10.321453,0.037085716,1017,10.0,Emilia-Romagna
43.395836,14.000001,2015-07-31,27.588297,21.270784,11.837813,2.405063,35.782085,215.86336,7.9745994,0.8796875,0.12998301,0.6401827,7.533559,0.016108952,1E_MS_CH_12,22.2,Marche
43.3125,13.791667,2015-07-31,27.756725,33.309223,12.038463,2.4009316,35.780052,226.58594,7.969153,0.74176157,0.23383895,0.93752617,6.61221,0.008112959,1E_MS_CH_3,5.6,Marche
43.354168,13.875001,2015-07-31,27.499144,26.395256,11.6931,2.4044683,35.573097,220.72183,7.976058,0.8168839,0.17758735,0.7855388,7.2603965,0.011604886,1E_MS_CH_6,11.1,Marche
43.8125,13.541667,2015-07-31,27.374123,20.648533,11.980824,2.4309554,35.947712,216.25516,7.9848766,1.0286071,0.12625214,0.64737415,7.933155,0.022775747,1E_MS_ES_12,22.2,Marche
43.6875,13.416667,2015-07-31,27.29513,39.15374,11.8766365,2.4455235,35.38598,229.71281,7.987122,0.96384513,0.291647,1.2073144,7.5656404,0.015334992,1E_MS_ES_3,5.6,Marche
43.729168,13.458334,2015-07-31,27.25939,30.70045,11.887584,2.4455392,35.39225,225.7633,7.9893517,1.010914,0.22006522,0.9703901,7.8787103,0.018235607,1E_MS_ES_6,11.1,Marche
42.770836,14.041667,2015-07-31,27.909113,24.413738,11.580451,2.4068596,35.834885,221.3035,7.963052,0.65915465,0.15144493,0.67084086,6.722807,0.008588896,1_ABR_GU04,5.556,Abruzzo
42.770836,14.125001,2015-07-31,27.794847,20.955635,11.757184,2.405051,35.750217,218.50732,7.970395,0.6574718,0.12365133,0.5857096,6.4129252,0.010144177,1_ABR_GU05,11.112,Abruzzo
42.8125,14.250001,2015-07-31,27.772085,17.25881,11.85707,2.3975716,36.655754,215.44206,7.975553,0.5655055,0.09286018,0.48870918,4.7339454,0.011587953,1_ABR_GU06,22.224,Abruzzo
42.229168,14.708334,2015-07-31,27.542078,17.120028,11.730055,2.4013023,36.25395,217.20764,7.9822392,0.48028752,0.094147466,0.4817354,4.3673115,0.008313804,1_ABR_VA13,5.556,Abruzzo
42.270836,14.750001,2015-07-31,27.520931,15.082235,11.843737,2.4020233,36.446835,216.25201,7.981485,0.47812885,0.082255624,0.42955408,4.2173696,0.008589679,1_ABR_VA14,11.112,Abruzzo
42.354168,14.833334,2015-07-31,27.451323,13.292958,11.872057,2.399042,37.04068,215.97357,7.9808254,0.44289285,0.07261068,0.38444158,3.5769594,0.008320821,1_ABR_VA15,22.224,Abruzzo
44.645836,12.541667,2015-07-31,26.944363,45.23589,12.189586,2.4794261,35.656006,231.13937,7.996738,0.97762495,0.28335887,1.5496159,9.462935,0.043096136,2004,20.0,Emilia-Romagna
44.270836,12.666667,2015-07-31,27.279522,45.70491,12.081033,2.4613447,35.634567,226.96758,7.997362,1.0458384,0.30780694,1.5311255,9.009123,0.03784395,2014,20.0,Emilia-Romagna
44.229168,12.791667,2015-07-31,27.250988,37.701725,12.193422,2.4785511,36.140175,225.58191,7.9986873,0.9927483,0.24606001,1.2481198,8.034456,0.031564794,2017,20.0,Emilia-Romagna
44.645836,12.333334,2015-07-31,27.405788,94.014915,11.472088,2.4191878,33.091503,225.15926,7.9726453,1.5398993,0.75317854,3.3009698,17.492393,0.11991631,604,6.0,Emilia-Romagna
44.229168,12.458334,2015-07-31,28.38387,57.815887,8.437916,2.4309494,34.332493,231.28244,7.9747343,1.364671,0.4419189,1.6809878,10.736072,0.04029795,614,6.0,Emilia-Romagna
44.104168,12.625001,2015-07-31,27.985807,49.42852,10.409658,2.4728482,34.59386,234.58067,7.9814806,1.2685336,0.35702097,1.4725404,10.071881,0.032871272,617,6.0,Emilia-Romagna
