Region,id,Date,Chla,DO,E_cond,NH4,NO2,NO3,O_sat,PO4,Salinity,Secchi_depth,SiO4,T,TN,TP,pH,N_ratio,P_ratio
Friuli-Venezia-Giulia,ITA06SMTS1,2015-09-30,1.1416666666666666,175.5488814083333,51.19766666666666,0.909,0.03,0.971,100.22833333333334,0.031,36.73233333333334,10.0,7.046,21.10966666666667,10.209,0.065,8.25,0.18708982270545596,0.4769230769230769
Friuli-Venezia-Giulia,ITA06SMTS1,2015-11-30,0.948,184.04278731333332,46.195,3.215,0.526,1.812,95.94133333333333,0.13,36.816,5.1,6.299,16.256,16.619,0.173,8.188333333333333,0.33413562789578194,0.7514450867052024
Friuli-Venezia-Giulia,ITA06SMTS1,2016-01-31,1.0033333333333332,249.4947566666667,42.88366666666667,1.28,1.16,2.242,93.63333333333333,0.162,38.147333333333336,4.5,7.224,11.698333333333332,5.301,0.227,8.2,0.8832295793246557,0.7136563876651982
Friuli-Venezia-Giulia,ITA06SMTS1,2016-03-31,0.7516666666666666,278.0382333333334,41.495,1.595,0.133,3.411,102.25533333333334,0.036,37.535333333333334,9.0,4.555,10.936666666666667,10.527,0.037,8.221666666666666,0.48817326873753214,0.9729729729729729
Friuli-Venezia-Giulia,ITA06SMTS1,2016-05-31,0.21,245.9529,46.47133333333333,0.509,0.07,0.318,99.96933333333334,0.01,37.478,10.2,2.527,15.817666666666668,9.769,0.066,8.241,0.09182106663936944,0.15151515151515152
Friuli-Venezia-Giulia,ITA06SMTS1,2016-07-31,0.311,239.79623333333333,56.565666666666665,0.47,0.07,4.49,116.64733333333334,0.01,36.882,10.0,4.52,25.890666666666664,9.54,0.08,8.205666666666668,0.5272536687631028,0.125
Friuli-Venezia-Giulia,ITA06SMTS1,2016-09-30,0.6356666666666667,238.7128266666667,54.87966666666667,0.43,0.07,4.03,113.16066666666666,0.01,36.85733333333334,9.5,4.88,24.378666666666664,11.15,0.08,8.205666666666666,0.4062780269058296,0.125
Friuli-Venezia-Giulia,ITA06SMTS1,2016-11-30,1.668,259.78710333333333,40.083,0.43,0.41,58.85,99.63900000000001,0.12,33.050999999999995,3.0,,14.282666666666666,67.8,0.45,8.027666666666667,0.8803834808259587,0.26666666666666666
Friuli-Venezia-Giulia,ITA06SMTS1,2017-01-31,1.3766666666666667,282.7260333333333,39.53333333333333,0.96,0.56,4.15,98.87666666666667,0.06,38.07,6.0,9.07,8.486666666666666,12.55,0.07,8.23,0.45179282868525894,0.857142857142857
Friuli-Venezia-Giulia,ITA06SMTS1,2017-03-31,0.43500000000000005,316.21767,39.671,1.471,0.12,11.723,112.508,0.153,37.06966666666667,7.0,1.66,9.569,14.82,0.153,8.26,0.8983805668016194,1.0
Friuli-Venezia-Giulia,ITA06SMTS1,2017-05-31,0.8290000000000001,255.78679666666667,44.56933333333333,0.636,0.07,3.429,101.83966666666667,0.101,36.425333333333334,11.5,3.737,15.096333333333334,15.502,0.882,8.283000000000001,0.266739775512837,0.11451247165532881
Friuli-Venezia-Giulia,ITA06SMTS1,2017-07-31,0.35133333333333333,211.1486,54.25266666666666,1.106,0.07,3.055,102.17533333333334,0.025,34.91466666666667,12.0,3.31,26.245333333333335,17.402,0.076,8.317333333333332,0.24313297322146882,0.32894736842105265
Friuli-Venezia-Giulia,ITA06SMTS1,2017-11-30,1.1863333333333335,236.17706666666666,46.77866666666667,1.134,0.636,4.536,95.42666666666668,0.072,38.27666666666667,,5.623,15.283333333333331,10.916,0.104,8.236666666666666,0.5776841333821913,0.6923076923076923
Friuli-Venezia-Giulia,ITA06SMTS2,2015-09-30,1.054,171.88532353000002,51.70133333333333,0.817,0.02,1.083,98.74033333333334,0.015,36.891666666666666,11.0,4.484,21.396,10.921,0.057,8.250666666666666,0.1758080761834997,0.2631578947368421
