Region,id,Date,Chla,DO,E_cond,NH4,NO2,NO3,O_sat,PO4,Salinity,Secchi_depth,SiO4,T,TN,TP,pH
Abruzzo,1_ABR_GU04,2015-07-31,0.1075,153.60017162499997,59.8,3.08,0.09,0.16,100.4,0.02,36.6,15.0,2.04,29.15,8.53,2.34,7.975
Abruzzo,1_ABR_GU04,2015-09-30,0.125,159.1077475,57.324999999999996,2.16,0.04,0.16,98.5,0.22,38.0,13.0,3.14,25.2,7.09,1.66,8.075
Abruzzo,1_ABR_GU04,2015-11-30,0.3,184.80976825,44.449999999999996,4.3,0.46,2.81,95.725,0.49,35.075,3.0,1.44,16.45,7.75,1.75,7.775
Abruzzo,1_ABR_GU04,2016-01-31,0.27,276.2672775,38.234675,1.58,0.86,2.4,95.825,1.39,36.632225000000005,2.0,17.38,8.527875,8.37,3.05,7.975
Abruzzo,1_ABR_GU04,2016-03-31,0.15250000000000002,260.6412725,40.927625,0.7,0.54,1.17,95.775,0.68,36.7866,3.5,4.54,11.125,8.83,3.23,8.12975
Abruzzo,1_ABR_GU04,2016-06-30,0.195,188.4814855,51.723075,0.45,0.32,1.18,108.85,0.18,36.5576,11.0,3.75,21.8067,5.94,1.06,8.014
Abruzzo,1_ABR_GU04,2016-07-31,0.10250000000000001,188.918075,54.329125000000005,0.29,0.1,0.78,90.675,0.02039525433901697,35.499674999999996,5.5,8.73,25.55855,7.89,0.15,8.057500000000001
Abruzzo,1_ABR_GU04,2016-09-30,0.1625,210.1694,54.11285,0.31,0.08,1.11,97.25,7.76374941855118e-05,37.655275,3.0,1.93,22.731225000000002,4.78,0.19,8.1745
Abruzzo,1_ABR_GU04,2017-02-28,0.425,320.72317499999997,36.4289,2.59,1.81,9.64,108.75,0.1,35.321325,,14.81,7.915525,15.35,0.25,8.07
Abruzzo,1_ABR_GU04,2017-03-31,0.2025,275.7203225,42.215375,1.44,0.76,6.47,104.525,0.06,36.4972,7.0,0.34,12.692225,10.74,0.1,8.1015
Abruzzo,1_ABR_GU04,2017-06-30,0.08499999999999999,175.79224499999998,55.443925,2.28,0.4,0.43,82.925,0.06,37.77245,8.5,4.07,23.800449999999998,3.81,0.84,8.05
Abruzzo,1_ABR_GU04,2017-07-31,0.20500000000000002,213.21648,59.5567,1.431,0.273,0.455,105.95,0.08,38.4555,5.0,3.723,26.64545,8.038,2.498,8.22975
Abruzzo,1_ABR_GU04,2017-10-31,0.415,193.359375,50.826499999999996,1.96,0.35,0.37,86.4,0.66,36.396325,,0.32,21.152099999999997,11.07,2.6,8.2195
Abruzzo,1_ABR_GU04,2017-11-30,1.7125,250.859375,42.4289,1.14,1.53,3.88,96.35,0.29,35.986975,,10.33,13.4377,11.21,1.84,8.29425
Abruzzo,1_ABR_GU05,2015-07-31,0.125,164.0033705,60.15,1.4,0.14,0.31,107.5,0.02,36.7,11.5,1.3,29.35,10.61,2.53,8.1
Abruzzo,1_ABR_GU05,2015-09-30,0.1,163.39141762499997,56.1,1.96,0.04,0.19,99.95,0.23,37.45,16.0,0.81,24.8,6.33,1.63,8.149999999999999
Abruzzo,1_ABR_GU05,2015-11-30,0.225,184.32020595,45.675,3.63,0.51,2.94,96.825,0.5,35.7,3.5,1.97,17.0,7.51,1.65,8.1
Abruzzo,1_ABR_GU05,2016-01-31,0.2525,260.563175,40.56395,0.04,0.47,0.91,93.875,0.49,37.59195,3.5,7.18,9.959999999999999,6.17,3.32,8.04975
Abruzzo,1_ABR_GU05,2016-03-31,0.14750000000000002,264.9384225,40.62375,1.58,0.65,1.86,96.7,0.66,36.768475,9.5,5.06,10.825000000000001,8.61,3.26,8.1595
Abruzzo,1_ABR_GU05,2016-06-30,0.1875,182.973909625,52.67885,1.1,0.09,0.54,106.875,0.18,36.86085,13.0,3.31,22.3414,6.82,1.23,7.9990000000000006
Abruzzo,1_ABR_GU05,2016-07-31,0.1275,190.16814499999998,54.164425,0.35,0.11,2.53,91.075,0.02745433712793313,35.4964,6.0,8.41,25.407275,6.52,0.19,8.0405
Abruzzo,1_ABR_GU05,2016-09-30,0.175,215.6384775,53.35925,0.24,0.04215623391783527,0.76,99.3,0.01908533935855078,37.166925,5.0,1.87,22.610875,9.61,0.2,8.15125
Abruzzo,1_ABR_GU05,2017-02-28,0.2175,294.471525,39.645825,2.73,1.33,7.12,103.95,0.08,37.616825,,2.5,9.021025,11.71,0.18,8.056000000000001
Abruzzo,1_ABR_GU05,2017-03-31,0.1875,268.2199025,42.835425,2.66,0.76,6.5,102.175,0.08,37.04575,10.0,1.09,12.744875,14.18,0.15,8.0885
Abruzzo,1_ABR_GU05,2017-06-30,0.1025,172.588895,55.521775,2.6,0.33,0.56,81.55,0.2,37.7315,18.0,3.67,23.919150000000002,3.93,2.24,8.05
Abruzzo,1_ABR_GU05,2017-07-31,0.245,211.7320075,60.046425,0.223,0.419,2.084,105.5,0.085,38.739374999999995,8.0,10.906,26.7333,10.461,2.193,8.224
Abruzzo,1_ABR_GU05,2017-10-31,0.36,192.34375,50.75325,1.61,0.32,0.72,85.82499999999999,0.55,36.403325,,0.3,21.074675,10.7,1.78,8.20575
Abruzzo,1_ABR_GU05,2017-11-30,1.0725,245.625,43.116475,1.3849999999999998,2.295,5.0,95.175,0.325,36.313125,,12.75,13.780175,10.934999999999999,1.65,8.2375
Abruzzo,1_ABR_GU06,2015-07-31,0.08499999999999999,152.98821875,62.2,0.09,0.07,0.2,101.45,0.02,37.95,25.0,1.66,29.6,7.5,2.57,8.075
Abruzzo,1_ABR_GU06,2015-09-30,0.125,168.8989935,56.15,2.48,0.04,0.23,103.3,0.24,37.45,25.0,0.82,24.8,5.81,1.69,8.1
Abruzzo,1_ABR_GU06,2015-11-30,0.1,169.266165225,52.075,2.81,0.04,0.21,95.1,0.52,38.9,19.0,3.28,19.5,6.77,1.84,8.05
Abruzzo,1_ABR_GU06,2016-01-31,0.14,225.0922025,46.60165,0.42,0.44,0.32,90.0,0.3,38.84195,16.0,3.76,14.54535,5.27,3.1,8.063
Abruzzo,1_ABR_GU06,2016-03-31,0.135,234.31152,46.1172,1.51,0.3,0.2,92.82499999999999,0.3,38.8511,17.0,2.62,14.1,12.18,3.34,7.84475
Abruzzo,1_ABR_GU06,2016-06-30,0.1575,176.609599725,54.366825,0.26,0.0,0.28,103.775,0.08,38.320949999999996,14.0,2.77,22.199275,6.66,1.13,7.94675
Abruzzo,1_ABR_GU06,2016-07-31,0.1325,194.69965000000002,55.8889,0.57,0.09,1.93,94.25,0.01457614046629607,36.508575,11.0,6.17,25.734975,5.22,0.25,8.056000000000001
Abruzzo,1_ABR_GU06,2016-09-30,0.19,207.6692225,54.340675,0.29,0.02405654133630857,1.46,96.175,0.006775470818632204,37.84405,9.0,2.33,22.719875000000002,6.28,0.19,8.069749999999999
Abruzzo,1_ABR_GU06,2017-02-28,0.12,249.3124425,45.418099999999995,2.64,0.64,2.45,97.275,0.08,38.952675,,0.34,13.3294,7.87,0.16,8.04575
Abruzzo,1_ABR_GU06,2017-03-31,0.1175,264.3915325,43.245125,0.74,0.75,5.87,100.375,0.08,37.804225,15.0,0.79,12.384125,11.51,0.16,8.039
Abruzzo,1_ABR_GU06,2017-06-30,0.0975,177.9799,54.8893,1.64,0.28,0.67,83.825,0.04,37.31255,16.5,3.02,23.840525,3.38,0.44,8.05
Abruzzo,1_ABR_GU06,2017-07-31,,207.59107749999998,58.9738,1.667,0.193,2.1,102.15,0.022,38.5417,30.0,8.895,26.031775,5.452,2.55,8.23
Abruzzo,1_ABR_GU06,2017-10-31,0.4675,207.421875,50.265475,4.19,0.39,1.03,91.95,0.6,36.2247,,0.57,20.821550000000002,11.18,1.81,8.2015
Abruzzo,1_ABR_GU06,2017-11-30,0.86,234.375,45.044025000000005,0.94,1.54,3.15,92.65,0.33,37.5216,,9.355,14.405725,9.905000000000001,1.68,8.1175
Abruzzo,1_ABR_VA13,2015-07-31,0.075,155.43603025,60.05,4.78,0.04,0.21,101.625,0.02,36.975,18.0,2.65,28.95,10.01,2.55,8.0
Abruzzo,1_ABR_VA13,2015-09-30,0.10000000000000002,150.54040725,56.0,2.83,0.04,0.04,91.5,0.42,37.8,8.5,1.88,24.275,6.6,1.76,8.075
Abruzzo,1_ABR_VA13,2015-11-30,0.35,197.29360690000001,44.8,2.21,0.34,2.36,102.875,0.36,35.125,11.0,0.21,16.775,7.79,1.65,8.025
Abruzzo,1_ABR_VA13,2016-01-31,0.235,287.04918,38.67815,3.11,1.51,3.72,101.025,0.77,36.3444,3.0,14.2,9.2639,7.47,3.23,8.08425
Abruzzo,1_ABR_VA13,2016-03-31,0.31,270.016885,39.704800000000006,1.58,0.81,2.95,99.15,0.61,35.1096,2.5,4.03,11.6,10.13,3.14,8.15525
Abruzzo,1_ABR_VA13,2016-06-30,0.1475,187.135189175,52.5244,1.18,0.09,0.59,109.0,0.0,36.886250000000004,4.0,3.8,22.168100000000003,2.71,0.79,7.9872499999999995
Abruzzo,1_ABR_VA13,2016-07-31,0.13333333333333333,190.7150475,54.525175,0.71,0.17,1.68,91.675,0.006461719569334372,35.60205,20.0,4.77,25.612175,6.0,0.14,8.0565
Abruzzo,1_ABR_VA13,2016-09-30,0.1125,215.950975,54.9209,0.39,0.0320408468102622,0.62,100.675,0.001523127807782556,38.015474999999995,8.0,1.37,23.046374999999998,4.19,0.22,8.1735
Abruzzo,1_ABR_VA13,2016-11-30,0.38,227.82675,44.305,0.11,0.23,0.19,90.225,0.17,36.417500000000004,11.5,2.14,14.799999999999999,1.17,0.38,8.075
Abruzzo,1_ABR_VA13,2017-02-28,0.31,265.563475,42.1976,0.79,0.82,5.15,98.85000000000001,0.07,37.716725,,3.84,11.4491,8.65,0.16,7.9475
Abruzzo,1_ABR_VA13,2017-03-31,0.34,280.9550775,42.328375,0.5,1.21,6.55,108.775,0.09,35.322825,8.0,4.18,14.05315,12.26,0.15,8.14325
Abruzzo,1_ABR_VA13,2017-05-31,0.19,202.04387499999999,50.570274999999995,1.57,0.29,0.27,88.775,0.08,37.219125,5.5,3.98,19.965575,2.65,1.02,8.1605
Abruzzo,1_ABR_VA13,2017-08-31,0.31,204.54402249999998,61.303725,1.86,0.252,2.882,103.675,0.077,38.8244,20.0,2.788,27.72195,8.954,1.101,8.22725
Abruzzo,1_ABR_VA13,2017-10-31,0.1675,213.75,51.80675,2.95,0.37,0.35,96.07499999999999,0.56,37.0735,,0.28,21.283275,10.4,1.78,8.3405
Abruzzo,1_ABR_VA13,2017-12-31,0.38,227.8125,46.878875,2.12,1.17,5.11,97.725,0.14,36.463274999999996,,1.91,14.7928,8.86,1.51,8.23975
Abruzzo,1_ABR_VA14,2015-07-31,0.11,153.60017162499997,59.875,4.83,0.08,0.19,100.2,0.05,36.849999999999994,16.0,1.8,28.95,8.56,2.26,7.925000000000001
Abruzzo,1_ABR_VA14,2015-09-30,0.1,151.764313,55.825,1.96,0.07,0.42,92.025,0.47,37.775,17.0,4.45,24.175,6.57,1.71,8.1
Abruzzo,1_ABR_VA14,2015-11-30,0.4,198.51751265000001,44.45,3.18,0.41,2.83,103.175,0.38,34.9,5.0,0.07,16.675,8.34,1.75,8.075
Abruzzo,1_ABR_VA14,2016-01-31,0.1875,251.34382,43.23015,3.58,0.84,1.34,95.125,0.42,38.05515,8.0,6.11,12.122725,7.59,3.36,8.088000000000001
Abruzzo,1_ABR_VA14,2016-03-31,0.395,270.5638075,39.396950000000004,1.82,0.76,3.22,98.2,0.42,35.413125,4.0,3.48,10.9439,12.71,3.24,8.13725
Abruzzo,1_ABR_VA14,2016-06-30,0.11,188.23670435,52.254825000000004,0.34,0.16,0.76,109.375,0.0,36.76305,4.0,3.32,22.0621,6.06,1.3,7.99025
Abruzzo,1_ABR_VA14,2016-07-31,0.12,191.6525925,54.771825,0.68,0.09,3.42,92.15,0.001615391171318365,35.823825,4.0,4.91,25.5609,5.4,0.15,8.06
Abruzzo,1_ABR_VA14,2016-09-30,0.125,214.23215249999998,54.842475,0.4,0.006129947540225925,1.46,100.0,0.02632816275273512,37.838325,10.5,1.06,23.18055,4.45,0.25,8.143
