Region,id,phyto_dates,nearest_dates
Abruzzo,1_ABR_GU04,2015-07-31,2015-07-23
Abruzzo,1_ABR_GU04,2015-09-30,2015-09-17
Abruzzo,1_ABR_GU04,2015-11-30,2015-11-04
Abruzzo,1_ABR_GU04,2016-01-31,2016-01-25
Abruzzo,1_ABR_GU04,2016-03-31,2016-03-09
Abruzzo,1_ABR_GU04,2016-06-30,2016-06-06
Abruzzo,1_ABR_GU04,2016-07-31,2016-07-20
Abruzzo,1_ABR_GU04,2016-09-30,2016-09-28
Abruzzo,1_ABR_GU04,2017-02-28,2017-02-16
Abruzzo,1_ABR_GU04,2017-03-31,2017-03-21
Abruzzo,1_ABR_GU04,2017-06-30,2017-06-06
Abruzzo,1_ABR_GU04,2017-07-31,2017-07-21
Abruzzo,1_ABR_GU04,2017-10-31,2017-10-02
Abruzzo,1_ABR_GU04,2017-11-30,2017-11-25
Abruzzo,1_ABR_GU05,2015-07-31,2015-07-23
Abruzzo,1_ABR_GU05,2015-09-30,2015-09-17
Abruzzo,1_ABR_GU05,2015-11-30,2015-11-04
Abruzzo,1_ABR_GU05,2016-01-31,2016-01-25
Abruzzo,1_ABR_GU05,2016-03-31,2016-03-09
Abruzzo,1_ABR_GU05,2016-06-30,2016-06-06
Abruzzo,1_ABR_GU05,2016-07-31,2016-07-20
Abruzzo,1_ABR_GU05,2016-09-30,2016-09-28
Abruzzo,1_ABR_GU05,2017-02-28,2017-02-16
Abruzzo,1_ABR_GU05,2017-03-31,2017-03-21
Abruzzo,1_ABR_GU05,2017-06-30,2017-06-06
Abruzzo,1_ABR_GU05,2017-07-31,2017-07-21
Abruzzo,1_ABR_GU05,2017-10-31,2017-10-02
Abruzzo,1_ABR_GU05,2017-11-30,2017-11-25
Abruzzo,1_ABR_GU06,2015-07-31,2015-07-23
Abruzzo,1_ABR_GU06,2015-09-30,2015-09-17
Abruzzo,1_ABR_GU06,2015-11-30,2015-11-04
Abruzzo,1_ABR_GU06,2016-01-31,2016-01-25
Abruzzo,1_ABR_GU06,2016-03-31,2016-03-09
Abruzzo,1_ABR_GU06,2016-06-30,2016-06-06
Abruzzo,1_ABR_GU06,2016-07-31,2016-07-20
Abruzzo,1_ABR_GU06,2016-09-30,2016-09-28
Abruzzo,1_ABR_GU06,2017-02-28,2017-02-16
Abruzzo,1_ABR_GU06,2017-03-31,2017-03-21
Abruzzo,1_ABR_GU06,2017-06-30,2017-06-06
Abruzzo,1_ABR_GU06,2017-07-31,2017-07-21
Abruzzo,1_ABR_GU06,2017-10-31,2017-10-02
Abruzzo,1_ABR_GU06,2017-11-30,2017-11-25
Abruzzo,1_ABR_VA13,2015-07-31,2015-07-27
Abruzzo,1_ABR_VA13,2015-09-30,2015-09-22
Abruzzo,1_ABR_VA13,2015-11-30,2015-11-05
Abruzzo,1_ABR_VA13,2016-01-31,2016-01-26
Abruzzo,1_ABR_VA13,2016-03-31,2016-03-16
Abruzzo,1_ABR_VA13,2016-06-30,2016-06-08
Abruzzo,1_ABR_VA13,2016-07-31,2016-07-19
Abruzzo,1_ABR_VA13,2016-09-30,2016-09-29
Abruzzo,1_ABR_VA13,2016-11-30,2016-11-22
Abruzzo,1_ABR_VA13,2017-02-28,2017-02-08
Abruzzo,1_ABR_VA13,2017-03-31,2017-03-24
Abruzzo,1_ABR_VA13,2017-05-31,2017-05-24
Abruzzo,1_ABR_VA13,2017-08-31,2017-08-02
Abruzzo,1_ABR_VA13,2017-10-31,2017-10-03
Abruzzo,1_ABR_VA13,2017-12-31,2017-12-14
Abruzzo,1_ABR_VA14,2015-07-31,2015-07-27
Abruzzo,1_ABR_VA14,2015-09-30,2015-09-22
Abruzzo,1_ABR_VA14,2015-11-30,2015-11-05
Abruzzo,1_ABR_VA14,2016-01-31,2016-01-26
Abruzzo,1_ABR_VA14,2016-03-31,2016-03-16
Abruzzo,1_ABR_VA14,2016-06-30,2016-06-08
Abruzzo,1_ABR_VA14,2016-07-31,2016-07-19
Abruzzo,1_ABR_VA14,2016-09-30,2016-09-29
Abruzzo,1_ABR_VA14,2016-11-30,2016-11-22
Abruzzo,1_ABR_VA14,2017-02-28,2017-02-08
Abruzzo,1_ABR_VA14,2017-03-31,2017-03-24
Abruzzo,1_ABR_VA14,2017-05-31,2017-05-24
Abruzzo,1_ABR_VA14,2017-08-31,2017-08-02
Abruzzo,1_ABR_VA14,2017-10-31,2017-10-03
Abruzzo,1_ABR_VA14,2017-12-31,2017-12-14
Abruzzo,1_ABR_VA15,2015-07-31,2015-07-27
Abruzzo,1_ABR_VA15,2015-09-30,2015-09-22
Abruzzo,1_ABR_VA15,2015-11-30,2015-11-05
Abruzzo,1_ABR_VA15,2016-01-31,2016-01-26
Abruzzo,1_ABR_VA15,2016-03-31,2016-03-16
Abruzzo,1_ABR_VA15,2016-06-30,2016-06-08
Abruzzo,1_ABR_VA15,2016-07-31,2016-07-19
Abruzzo,1_ABR_VA15,2016-09-30,2016-09-29
Abruzzo,1_ABR_VA15,2016-11-30,2016-11-22
Abruzzo,1_ABR_VA15,2017-02-28,2017-02-08
Abruzzo,1_ABR_VA15,2017-03-31,2017-03-24
Abruzzo,1_ABR_VA15,2017-05-31,2017-05-24
Abruzzo,1_ABR_VA15,2017-08-31,2017-08-02
Abruzzo,1_ABR_VA15,2017-10-31,2017-10-03
Abruzzo,1_ABR_VA15,2017-12-31,2017-12-14
Basilicata,M1_SINNI_1,2015-10-31,2015-10-28
Basilicata,M1_SINNI_1,2015-12-31,2015-12-29
Basilicata,M1_SINNI_1,2016-04-30,2016-04-15
Basilicata,M1_SINNI_1,2016-05-31,2016-05-18
Basilicata,M1_SINNI_1,2016-07-31,2016-07-12
Basilicata,M1_SINNI_1,2016-08-31,2016-08-31
Basilicata,M1_SINNI_1,2017-05-31,2017-05-19
Basilicata,M1_SINNI_1,2017-06-30,2017-06-23
Basilicata,M1_SINNI_1,2017-07-31,2017-07-12
Basilicata,M1_SINNI_1,2017-09-30,2017-09-05
Basilicata,M1_SINNI_1,2017-10-31,2017-10-03
Basilicata,M1_SINNI_1,2017-11-30,2017-11-24
Basilicata,M1_SINNI_2,2015-10-31,2015-10-28
Basilicata,M1_SINNI_2,2015-12-31,2015-12-29
Basilicata,M1_SINNI_2,2016-04-30,2016-04-15
Basilicata,M1_SINNI_2,2016-05-31,2016-05-18
Basilicata,M1_SINNI_2,2016-07-31,2016-07-12
Basilicata,M1_SINNI_2,2016-08-31,2016-08-31
Basilicata,M1_SINNI_2,2017-05-31,2017-05-19
Basilicata,M1_SINNI_2,2017-06-30,2017-06-23
Basilicata,M1_SINNI_2,2017-07-31,2017-07-12
Basilicata,M1_SINNI_2,2017-09-30,2017-09-05
Basilicata,M1_SINNI_2,2017-10-31,2017-10-03
Basilicata,M1_SINNI_2,2017-11-30,2017-11-24
Basilicata,M1_SINNI_3,2015-10-31,2015-10-28
Basilicata,M1_SINNI_3,2015-12-31,2015-12-29
Basilicata,M1_SINNI_3,2016-04-30,2016-04-15
Basilicata,M1_SINNI_3,2016-05-31,2016-05-18
Basilicata,M1_SINNI_3,2016-07-31,2016-07-12
Basilicata,M1_SINNI_3,2016-08-31,2016-08-31
Basilicata,M1_SINNI_3,2017-05-31,2017-05-19
Basilicata,M1_SINNI_3,2017-06-30,2017-06-23
Basilicata,M1_SINNI_3,2017-07-31,2017-07-12
Basilicata,M1_SINNI_3,2017-09-30,2017-09-05
Basilicata,M1_SINNI_3,2017-10-31,2017-10-03
Basilicata,M1_SINNI_3,2017-11-30,2017-11-24
Calabria,M1T1A,2017-02-28,2017-02-22
Calabria,M1T1A,2017-05-31,2017-05-30
Calabria,M1T1A,2017-08-31,2017-08-29
Calabria,M1T1A,2017-10-31,2017-10-18
Calabria,M1T1B,2015-09-30,2015-09-23
Calabria,M1T1B,2016-05-31,2016-05-26
Calabria,M1T1B,2016-07-31,2016-07-28
Calabria,M1T1B,2017-02-28,2017-02-22
Calabria,M1T1B,2017-05-31,2017-05-30
Calabria,M1T1B,2017-08-31,2017-08-29
Calabria,M1T1B,2017-10-31,2017-10-18
Calabria,M1T1C,2015-09-30,2015-09-23
Calabria,M1T1C,2016-05-31,2016-05-26
Calabria,M1T1C,2016-07-31,2016-07-28
Calabria,M1T1C,2017-02-28,2017-02-22
Calabria,M1T1C,2017-05-31,2017-05-30
Calabria,M1T1C,2017-08-31,2017-08-29
Calabria,M1T1C,2017-10-31,2017-10-18
Calabria,M1T2A,2017-06-30,2017-06-21
Calabria,M1T2A,2017-08-31,2017-08-02
Calabria,M1T2A,2017-10-31,2017-10-17
Calabria,M1T2B,2015-09-30,2015-09-14
Calabria,M1T2B,2015-12-31,2015-12-01
Calabria,M1T2B,2016-05-31,2016-05-10
Calabria,M1T2B,2016-07-31,2016-07-12
Calabria,M1T2B,2017-06-30,2017-06-21
Calabria,M1T2B,2017-08-31,2017-08-02
Calabria,M1T2B,2017-10-31,2017-10-17
Calabria,M1T2C,2015-09-30,2015-09-14
Calabria,M1T2C,2015-12-31,2015-12-01
Calabria,M1T2C,2016-05-31,2016-05-10
Calabria,M1T2C,2016-07-31,2016-07-12
Calabria,M1T2C,2017-06-30,2017-06-21
Calabria,M1T2C,2017-08-31,2017-08-02
Calabria,M1T2C,2017-10-31,2017-10-17
Calabria,M1T3A,2017-05-31,2017-05-18
Calabria,M1T3A,2017-08-31,2017-08-09
Calabria,M1T3B,2015-09-30,2015-09-17
Calabria,M1T3B,2015-12-31,2015-12-03
Calabria,M1T3B,2016-06-30,2016-06-15
Calabria,M1T3B,2017-05-31,2017-05-18
Calabria,M1T3B,2017-08-31,2017-08-09
Calabria,M1T3C,2015-09-30,2015-09-17
Calabria,M1T3C,2015-12-31,2015-12-03
Calabria,M1T3C,2016-05-31,2016-05-23
Calabria,M1T3C,2017-05-31,2017-05-18
Calabria,M1T3C,2017-08-31,2017-08-09
Calabria,M1T4A,2017-02-28,2017-02-16
Calabria,M1T4A,2017-05-31,2017-05-09
Calabria,M1T4A,2017-09-30,2017-09-08
Calabria,M1T4A,2017-10-31,2017-10-03
Calabria,M1T4B,2015-09-30,2015-09-17
Calabria,M1T4B,2016-01-31,2016-01-28
Calabria,M1T4B,2016-07-31,2016-07-20
Calabria,M1T4B,2017-02-28,2017-02-16
Calabria,M1T4B,2017-05-31,2017-05-09
Calabria,M1T4B,2017-09-30,2017-09-08
Calabria,M1T4B,2017-10-31,2017-10-03
Calabria,M1T4C,2015-09-30,2015-09-17
Calabria,M1T4C,2016-01-31,2016-01-28
Calabria,M1T4C,2016-07-31,2016-07-20
Calabria,M1T4C,2017-02-28,2017-02-16
Calabria,M1T4C,2017-05-31,2017-05-09
Calabria,M1T4C,2017-09-30,2017-09-08
Calabria,M1T4C,2017-10-31,2017-10-03
Calabria,M1T5A,2017-02-28,2017-02-27
Calabria,M1T5A,2017-07-31,2017-07-07
Calabria,M1T5B,2015-09-30,2015-09-28
Calabria,M1T5B,2016-02-29,2016-02-23
Calabria,M1T5B,2016-04-30,2016-04-18
Calabria,M1T5B,2016-06-30,2016-06-23
Calabria,M1T5B,2017-02-28,2017-02-27
Calabria,M1T5B,2017-07-31,2017-07-07
Calabria,M1T5C,2015-09-30,2015-09-28
Calabria,M1T5C,2016-02-29,2016-02-23
Calabria,M1T5C,2016-04-30,2016-04-18
Calabria,M1T5C,2016-06-30,2016-06-23
Calabria,M1T5C,2017-02-28,2017-02-27
Calabria,M1T5C,2017-07-31,2017-07-07
Calabria,M1T6A,2017-05-31,2017-05-15
Calabria,M1T6A,2017-08-31,2017-08-08
Calabria,M1T6B,2016-07-31,2016-07-21
Calabria,M1T6B,2017-05-31,2017-05-15
Calabria,M1T6B,2017-08-31,2017-08-08
