Taxon,Region
Proboscia alata,1292
Cylindrotheca closterium,1114
Thalassionema nitzschioides,1041
Dactyliosolen fragilissimus,990
Leptocylindrus danicus,838
Cerataulina pelagica,821
Prorocentrum micans,793
Guinardia striata,793
Gyrodinium fusiforme,755
Ceratium furca,743
Torodinium robustum,641
Hemiaulus hauckii,633
Scrippsiella trochoidea,628
Chaetoceros curvisetus,549
Chaetoceros decipiens,527
Dictyocha fibula,525
Oxytoxum variabile,458
Asterionellopsis glacialis,438
Leptocylindrus minimus,427
Chaetoceros peruvianus,418
Chaetoceros danicus,412
Leptocylindrus mediterraneus,369
Protoperidinium steinii,368
Lessardia elongata,363
Guinardia flaccida,362
Lioloma pacificum,349
Chaetoceros diversus,338
