"","basin","stat","p.value"
"Bacillariophyceae","NordAdr",0.596797823056017,0.005
"Cerataulina.pelagica","NordAdr",0.582506555819742,0.005
"Chaetoceros.curvisetus","NordAdr",0.544499210480257,0.005
"Chaetoceros.spp.","NordAdr",0.791223089568081,0.005
"Cylindrotheca.closterium","NordAdr",0.658156978364796,0.005
"Dactyliosolen.fragilissimus","NordAdr",0.672126432935861,0.005
"Diplopsalis.spp.","NordAdr",0.508784076325821,0.005
"Gymnodinium.spp.","NordAdr",0.589890423916022,0.005
"Gyrodinium.spp.","NordAdr",0.540470628494298,0.005
"Leptocylindrus.spp.","NordAdr",0.545453267233446,0.005
"Pleurosigma.spp.","NordAdr",0.562879267832126,0.005
"Prorocentrum.micans","NordAdr",0.636366334318125,0.005
"Protoperidinium.spp.","NordAdr",0.50903064899132,0.005
"Pseudo.nitzschia.spp.","NordAdr",0.687733042654162,0.005
"Skeletonema.spp.","NordAdr",0.548465346595635,0.005
"Thalassionema.nitzschioides","NordAdr",0.652700176877123,0.005
"Thalassiosira.spp.","NordAdr",0.547667075217096,0.005
"Proboscia.alata","SouthAdr",0.596213500740223,0.005
"Coccolithophyceae","WestMed",0.55903766468846,0.005
"Commation.cryoporinum","WestMed",0.564513869152833,0.005
"Cymbomonas.spp.","WestMed",0.67147167700127,0.005
"Dinoflagellata.incertae.sedis","WestMed",0.628672930977448,0.005
"Gyrodinium.biconicum","WestMed",0.621323752614427,0.005
"Gyrodinium.flagellare","WestMed",0.593625175740537,0.005
"Pachysphaera.spp.","WestMed",0.599525487905302,0.005
"Telonema.subtile","WestMed",0.552922169806846,0.005
