id,Transect,SeaDepth
ITA06SMTS1,SMTS,22
ITA06SMTS2,SMTS,25
ITA06SMTS3,SMTS,23
ITA06SMLG1,SMLG,15
ITA06SMLG2,SMLG,12
ITA06SMLG3,SMLG,20
50530,VENEZIA,17
60530,VENEZIA,18
70530,VENEZIA,24
50720,ROSOLINA,19.5
60720,ROSOLINA,24
70720,ROSOLINA,26
604,PORTO_GARIBALDI,12
1004,PORTO_GARIBALDI,14.8
2004,PORTO_GARIBALDI,26.5
614,CESENATICO,10.2
1014,CESENATICO,12.3
2014,CESENATICO,22
617,RIMINI,10.7
1017,RIMINI,14.1
2017,RIMINI,24.5
1E_MS_CH_12,Chienti,50
1E_MS_CH_3,Chienti,13
1E_MS_CH_6,Chienti,18
1E_MS_ES_12,Esino,53
1E_MS_ES_3,Esino,16
1E_MS_ES_6,Esino,21
1_ABR_GU04,GU,15.6
1_ABR_GU05,GU,25.4
1_ABR_GU06,GU,76.8
1_ABR_VA13,VA,25.9
1_ABR_VA14,VA,57.8
1_ABR_VA15,VA,97.9
R14001_B2_6KM,R14001_B2,18.9
R14001_B2_10KM,R14001_B2,28
R14001_B2_20KM,R14001_B2,74
1CA02bis,FOCE_CAPOIALE,14
1CA03,FOCE_CAPOIALE,21
1CA04,FOCE_CAPOIALE,83
3FO02bis,FOCE_OFANTO,19
3FO03,FOCE_OFANTO,23
3FO04,FOCE_OFANTO,36
4BA02bis,BARI_TRULLO,70
4BA03,BARI_TRULLO,110
4BA04,BARI_TRULLO,132
6CB02bis,BRINDISI_CAPOBIANCO,75
6CB03,BRINDISI_CAPOBIANCO,110
6CB04,BRINDISI_CAPOBIANCO,122
8PC02bis,PORTO_CESAREO,30
8PC03,PORTO_CESAREO,50
8PC04,PORTO_CESAREO,210
9PN02bis,PUNTA_RONDINELLA,35
9PN03,PUNTA_RONDINELLA,320
9PN04,PUNTA_RONDINELLA,1100
M1_SINNI_1,SINNI,16
M1_SINNI_2,SINNI,54
M1_SINNI_3,SINNI,665
M1T1A,Villapiana,160
M1T1B,Villapiana,320
M1T1C,Villapiana,462
M1T2A,Capo_Rizzuto,320
M1T2B,Capo_Rizzuto,630
M1T2C,Capo_Rizzuto,1500
M1T3A,Caulonia_marina,450
M1T3B,Caulonia_marina,1100
M1T3C,Caulonia_marina,1500
M1T4A,Saline_Joniche,1200
M1T4B,Saline_Joniche,1380
M1T4C,Saline_Joniche,1460
M1T6A,Cetraro,138
M1T6B,Cetraro,480
M1T6C,Cetraro,670
M1FV3,Domizio,20
M1FV6,Domizio,70
M1FV12,Domizio,290
M1GN3,Napoli,80
M1GN6,Napoli,130
M1GN12,Napoli,230
M1GS3,Salerno,50
M1GS6,Salerno,145
M1GS12,Salerno,450
M1CL3,Cilento,85
M1CL6,Cilento,260
M1CL12,Cilento,700
IT_m1vt04_3,m1vt04,48
IT_m1vt04_6,m1vt04,84
IT_m1vt04_12,m1vt04,128
IT_m1rm03_3,m1rm03,33
IT_m1rm03_6,m1rm03,55
IT_m1rm03_12,m1rm03,80
IT_m1lt01_3,m1lt01,44
IT_m1lt01_6,m1lt01,86
IT_m1lt01_12,m1lt01,125
IT_m1lt02_3,m1lt02,65
IT_m1lt02_6,m1lt02,100
IT_m1lt02_12,m1lt02,150
SMR_CPI_WA1,Fiume_Morto,15
SMR_CPI_WA3,Fiume_Morto,20
SMR_CPI_WA5,Fiume_Morto,50
SMR_CCE_WA1,Donoratico,42
SMR_CCE_WA3,Donoratico,74
SMR_CCE_WA5,Donoratico,114
SMR_CFO_WA1,Carbonifera,27
SMR_CFO_WA3,Carbonifera,43
SMR_CFO_WA5,Carbonifera,83
SMR_COM_WA1,Collelungo,58
SMR_COM_WA3,Collelungo,90
SMR_COM_WA5,Collelungo,124
VAD030,Quiliano,360
VAD060,Quiliano,920
VAD120,Quiliano,1427
VOL030,Voltri,96
VOL060,Voltri,275
VOL120,Voltri,1334
ORO030,Portofino,347
ORO060,Portofino,909
ORO120,Portofino,1283
MES030,Mesco,140
MES060,Mesco,485
MES120,Mesco,457
IEM1A,Isole_Egadi,18.5
IEM1B,Isole_Egadi,40.5
IEM1C,Isole_Egadi,83.5
CGM1A,Capo_Gallo,142
CGM1B,Capo_Gallo,600
CGM1C,Capo_Gallo,1400
ICM1A,Isole_Ciclopi,585
ICM1B,Isole_Ciclopi,1285
ICM1C,Isole_Ciclopi,1900
PLM1A,Plemmirio,126
PLM1B,Plemmirio,433
PLM1C,Plemmirio,2350
COM1A,Isola_Correnti,35.6
COM1B,Isola_Correnti,51.5
COM1C,Isola_Correnti,95
SMM1A,San_Marco,34
SMM1B,San_Marco,55
SMM1C,San_Marco,94.5
0004-MS00200_TR03,Cagliari,24
0004-MS00200_TR06,Cagliari,55
0004-MS00200_TR12,Cagliari,400
0018-MS00110_TR03,Villasimius,70
0018-MS00110_TR06,Villasimius,600
0018-MS00110_TR12,Villasimius,1000
0073-MS00370_TR03,Arbatax,480
0073-MS00370_TR06,Arbatax,850
0073-MS00370_TR12,Arbatax,1250
0129-MS00730_TR03,Olbia,43
0129-MS00730_TR06,Olbia,70
0129-MS00730_TR12,Olbia,87
0182-MS01070_TR03,Porto_Torres,33
0182-MS01070_TR06,Porto_Torres,45
0182-MS01070_TR12,Porto_Torres,74
0192-MS01200_TR03,Alghero,53
0192-MS01200_TR06,Alghero,98
0192-MS01200_TR12,Alghero,118
0222-MS01380_TR03,Oristano,19
0222-MS01380_TR06,Oristano,26
0222-MS01380_TR12,Oristano,49
M1T5A,Vibo_marina,140
M1T5B,Vibo_marina,400
M1T5C,Vibo_marina,440
