id,Latitude,Longitude,Closest_coast,Region
1_ABR_GU04,42.7609,14.0418,5.556,Abruzzo
1_ABR_GU05,42.7744,14.1072,11.112,Abruzzo
1_ABR_GU06,42.8012,14.238,22.224,Abruzzo
1_ABR_VA13,42.2216,14.7225,5.556,Abruzzo
1_ABR_VA14,42.2627,14.7609,11.112,Abruzzo
1_ABR_VA15,42.3448,14.838,22.224,Abruzzo
M1_SINNI_1,40.1182,16.7315,4.82803,Basilicata
M1_SINNI_2,40.0899,16.774,9.65606,Basilicata
M1_SINNI_3,40.0339,16.8615,19.3121,Basilicata
M1T1A,39.8037,16.5583,5.556,Calabria
M1T1B,39.7939,16.6232,11.112,Calabria
M1T1C,39.7741,16.7508,22.224,Calabria
M1T2A,38.89,17.1738,5.556,Calabria
M1T2B,38.8588,17.2244,11.112,Calabria
M1T2C,38.7973,17.3255,22.224,Calabria
M1T3A,38.296,16.4973,5.556,Calabria
M1T3B,38.2508,16.528,11.112,Calabria
M1T3C,38.1635,16.5876,22.224,Calabria
M1T4A,37.9012,15.6664,5.556,Calabria
M1T4B,37.8605,15.6289,11.112,Calabria
M1T4C,37.7813,15.5537,22.224,Calabria
M1T5A,38.7552,16.0715,5.556,Calabria
M1T5B,38.7975,16.039,11.112,Calabria
M1T5C,38.8826,15.9703,22.224,Calabria
M1T6A,39.4874,15.8802,5.556,Calabria
M1T6B,39.4596,15.8243,11.112,Calabria
M1T6C,39.4035,15.7161,22.224,Calabria
M1CL12,39.8986,15.1205,22.224,Campania
M1CL3,39.9972,15.2694,5.556,Campania
M1CL6,39.9644,15.2194,11.112,Campania
M1FV12,40.9315,13.6966,22.224,Campania
M1FV3,40.996,13.8695,5.556,Campania
M1FV6,40.9718,13.8124,11.112,Campania
M1GN12,40.699,14.2063,22.224,Campania
M1GN3,40.7092,14.4076,5.556,Campania
M1GN6,40.7114,14.3384,11.112,Campania
M1GS12,40.4986,14.6364,22.224,Campania
M1GS3,40.5973,14.7844,5.556,Campania
M1GS6,40.5656,14.7348,11.112,Campania
1004,44.662,12.3761,10.0,Emilia-Romagna
1014,44.2521,12.5235,10.0,Emilia-Romagna
1017,44.1343,12.6774,10.0,Emilia-Romagna
2004,44.6621,12.5332,20.0,Emilia-Romagna
2014,44.2899,12.6477,20.0,Emilia-Romagna
2017,44.209,12.8121,20.0,Emilia-Romagna
604,44.6618,12.3249,6.0,Emilia-Romagna
614,44.2323,12.4643,6.0,Emilia-Romagna
617,44.1131,12.6361,6.0,Emilia-Romagna
ITA06SMLG1,45.6425,13.181,5.556,Friuli-Venezia-Giulia
ITA06SMLG2,45.6081,13.2327,11.112,Friuli-Venezia-Giulia
ITA06SMLG3,45.5503,13.3176,20.372,Friuli-Venezia-Giulia
ITA06SMTS1,45.6487,13.6954,5.556,Friuli-Venezia-Giulia
ITA06SMTS2,45.6375,13.6259,11.112,Friuli-Venezia-Giulia
ITA06SMTS3,45.615,13.487,22.224,Friuli-Venezia-Giulia
IT_m1lt01_12,41.0391,13.6042,22.4,Lazio
IT_m1lt01_3,41.1979,13.611,5.8,Lazio
IT_m1lt01_6,41.1519,13.608,11.4,Lazio
IT_m1lt02_12,41.0257,13.1236,22.3,Lazio
IT_m1lt02_3,41.1743,13.1011,5.7,Lazio
IT_m1lt02_6,41.1258,13.1084,11.3,Lazio
IT_m1rm03_12,41.7812,11.9201,22.2,Lazio
IT_m1rm03_3,41.9047,12.036,5.6,Lazio
IT_m1rm03_6,41.8632,11.9964,11.2,Lazio
IT_m1vt04_12,42.1366,11.4581,22.2,Lazio
IT_m1vt04_3,42.1457,11.6005,5.6,Lazio
IT_m1vt04_6,42.1832,11.5758,11.1,Lazio
MES030,44.1011,9.58118,5.556,Liguria
MES060,44.0605,9.54118,11.112,Liguria
MES120,43.9786,9.46117,22.224,Liguria
ORO030,44.2711,9.13399,5.556,Liguria
ORO060,44.226,9.1044,11.112,Liguria
ORO120,44.1365,9.04561,22.224,Liguria
VAD030,44.2133,8.4926,5.556,Liguria
VAD060,44.172,8.53087,11.112,Liguria
VAD120,44.0888,8.60867,22.224,Liguria
VOL030,44.3765,8.75211,5.556,Liguria
VOL060,44.3258,8.75211,11.112,Liguria
VOL120,44.2267,8.75191,22.224,Liguria
1E_MS_CH_12,43.3831,13.9883,22.2,Marche
1E_MS_CH_3,43.3173,13.8039,5.6,Marche
1E_MS_CH_6,43.3395,13.8655,11.1,Marche
1E_MS_ES_12,43.8107,13.5252,22.2,Marche
1E_MS_ES_3,43.6861,13.4094,5.6,Marche
1E_MS_ES_6,43.7274,13.4484,11.1,Marche
R14001_B2_10KM,42.1003,14.9752,10.0,Molise
R14001_B2_20KM,42.1892,15.0022,20.0,Molise
R14001_B2_6KM,42.0648,14.963,6.0,Molise
1CA02bis,41.961,15.6708,5.556,Puglia
1CA03,42.0113,15.7247,11.112,Puglia
1CA04,42.0999,15.7849,22.224,Puglia
3FO02bis,41.4038,16.2346,5.556,Puglia
3FO03,41.4459,16.268,11.112,Puglia
3FO04,41.5319,16.3369,22.224,Puglia
4BA02bis,41.1519,16.9641,5.556,Puglia
4BA03,41.1964,16.9958,11.112,Puglia
4BA04,41.2845,17.0587,22.224,Puglia
6CB02bis,40.6878,18.0376,5.556,Puglia
6CB03,40.7307,18.0738,11.112,Puglia
6CB04,40.8154,18.1445,22.224,Puglia
8PC02bis,40.2154,17.8481,5.556,Puglia
8PC03,40.1817,17.7991,11.112,Puglia
8PC04,40.1147,17.7021,22.224,Puglia
9PN02bis,40.4323,17.1561,5.556,Puglia
9PN03,40.3841,17.136,11.112,Puglia
9PN04,40.2888,17.0962,22.224,Puglia
0004-MS00200_TR03,39.1725,9.21011,5.556,Sardegna
0004-MS00200_TR06,39.1218,9.22315,11.112,Sardegna
0004-MS00200_TR12,39.0239,9.24839,22.224,Sardegna
0018-MS00110_TR03,39.0843,9.49068,5.556,Sardegna
0018-MS00110_TR06,39.0345,9.4984,11.112,Sardegna
0018-MS00110_TR12,38.9348,9.51523,22.224,Sardegna
0073-MS00370_TR03,39.9504,9.74965,5.556,Sardegna
0073-MS00370_TR06,39.9503,9.81515,11.112,Sardegna
0073-MS00370_TR12,39.9505,9.94486,22.224,Sardegna
0129-MS00730_TR03,40.9627,9.62637,5.556,Sardegna
0129-MS00730_TR06,40.9935,9.67835,11.112,Sardegna
0129-MS00730_TR12,41.0554,9.78238,22.224,Sardegna
