"id","Date","ClasseDim","Abbondanza_CD"
"0004-MS00200_TR06",2015-08-31,"MF",3020
"0004-MS00200_TR06",2015-08-31,"NF",75636
"0004-MS00200_TR06",2015-10-31,"MF",1150
"0004-MS00200_TR06",2015-10-31,"NF",103254
"0004-MS00200_TR06",2015-12-31,"MF",2310
"0004-MS00200_TR06",2015-12-31,"NF",76891
"0004-MS00200_TR06",2016-01-31,"MF",4370
"0004-MS00200_TR06",2016-01-31,"NF",145320
"0004-MS00200_TR06",2016-04-30,"MF",3910
"0004-MS00200_TR06",2016-04-30,"NF",77332
"0004-MS00200_TR06",2016-06-30,"MF",1470
"0004-MS00200_TR06",2016-06-30,"NF",16942
"0004-MS00200_TR06",2016-07-31,"MF",7409
"0004-MS00200_TR06",2016-07-31,"NF",61565
"0004-MS00200_TR06",2016-10-31,"MF",1540
"0004-MS00200_TR06",2016-10-31,"NF",17530
"0004-MS00200_TR06",2016-12-31,"MF",2056
"0004-MS00200_TR06",2016-12-31,"NF",75399
"0004-MS00200_TR06",2017-06-30,"MF",2220
"0004-MS00200_TR06",2017-06-30,"NF",141775
"0004-MS00200_TR06",2017-07-31,"MF",11135
"0004-MS00200_TR06",2017-07-31,"NF",55158
"0004-MS00200_TR06",2017-09-30,"MF",1250
"0004-MS00200_TR06",2017-09-30,"NF",61897
"0004-MS00200_TR06",2017-11-30,"MF",1460
"0004-MS00200_TR06",2017-11-30,"NF",69042
"0004-MS00200_TR12",2015-10-31,"MF",2440
"0004-MS00200_TR12",2015-10-31,"NF",109498
"0004-MS00200_TR12",2015-12-31,"MF",1770
"0004-MS00200_TR12",2015-12-31,"NF",36863
"0004-MS00200_TR12",2016-01-31,"MF",2960
"0004-MS00200_TR12",2016-01-31,"NF",105943
"0004-MS00200_TR12",2016-04-30,"MF",730
"0004-MS00200_TR12",2016-04-30,"NF",70303
"0004-MS00200_TR12",2016-06-30,"MF",1360
"0004-MS00200_TR12",2016-06-30,"NF",40393
"0004-MS00200_TR12",2016-07-31,"MF",2440
"0004-MS00200_TR12",2016-07-31,"NF",43069
"0004-MS00200_TR12",2016-10-31,"MF",75
"0004-MS00200_TR12",2016-10-31,"NF",41749
"0004-MS00200_TR12",2016-12-31,"MF",2520
"0004-MS00200_TR12",2016-12-31,"NF",74716
"0004-MS00200_TR12",2017-06-30,"MF",7190
"0004-MS00200_TR12",2017-06-30,"NF",143162
"0004-MS00200_TR12",2017-07-31,"MF",9170
"0004-MS00200_TR12",2017-07-31,"NF",57402
"0004-MS00200_TR12",2017-09-30,"MF",1210
"0004-MS00200_TR12",2017-09-30,"NF",27298
"0004-MS00200_TR12",2017-11-30,"MF",1200
"0004-MS00200_TR12",2017-11-30,"NF",65516
"0018-MS00110_TR06",2015-08-31,"MF",1130
"0018-MS00110_TR06",2015-08-31,"NF",85372
"0018-MS00110_TR06",2015-10-31,"MF",2830
"0018-MS00110_TR06",2015-10-31,"NF",35129
"0018-MS00110_TR06",2015-12-31,"MF",1370
"0018-MS00110_TR06",2015-12-31,"NF",104062
"0018-MS00110_TR06",2016-02-29,"MF",720
"0018-MS00110_TR06",2016-02-29,"NF",70590
"0018-MS00110_TR06",2016-04-30,"MF",790
"0018-MS00110_TR06",2016-04-30,"NF",73766
"0018-MS00110_TR06",2016-06-30,"MF",7350
"0018-MS00110_TR06",2016-06-30,"NF",89554
"0018-MS00110_TR06",2016-07-31,"MF",3481
"0018-MS00110_TR06",2016-07-31,"NF",70879
"0018-MS00110_TR06",2016-09-30,"MF",2063
"0018-MS00110_TR06",2016-09-30,"NF",58554
"0018-MS00110_TR06",2016-12-31,"MF",4397
"0018-MS00110_TR06",2016-12-31,"NF",66602
