,Region,id,Longitude,Latitude,Closest_coast
0,Emilia-Romagna,1004,12.3761,44.662,10.0
50,Emilia-Romagna,2004,12.5332,44.6621,20.0
104,Emilia-Romagna,604,12.3249,44.6618,6.0
154,Emilia-Romagna,1014,12.5235,44.2521,10.0
200,Emilia-Romagna,1017,12.6774,44.1343,10.0
256,Emilia-Romagna,2014,12.6477,44.2899,20.0
300,Emilia-Romagna,2017,12.8121,44.209,20.0
356,Emilia-Romagna,614,12.4643,44.2323,6.0
405,Emilia-Romagna,617,12.6361,44.1131,6.0
6768,Marche,1E_MS_ES_3,13.4094,43.6861,5.6
6775,Marche,1E_MS_ES_6,13.4484,43.7274,11.1
6784,Marche,1E_MS_ES_12,13.5252,43.8107,22.2
6796,Marche,1E_MS_CH_3,13.8039,43.3173,5.6
6816,Marche,1E_MS_CH_6,13.8655,43.3395,11.1
6863,Marche,1E_MS_CH_12,13.9883,43.3831,22.2
28264,Liguria,MES030,9.58118,44.1011,5.556
28285,Liguria,MES060,9.54118,44.0605,11.112
28308,Liguria,MES120,9.46117,43.9786,22.224
28326,Liguria,ORO030,9.13399,44.2711,5.556
28370,Liguria,ORO060,9.1044,44.226,11.112
28398,Liguria,ORO120,9.04561,44.1365,22.224
28428,Liguria,VAD030,8.4926,44.2133,5.556
28459,Liguria,VAD060,8.53087,44.172,11.112
28503,Liguria,VAD120,8.60867,44.0888,22.224
28541,Liguria,VOL030,8.75211,44.3765,5.556
28568,Liguria,VOL060,8.75211,44.3258,11.112
28595,Liguria,VOL120,8.75191,44.2267,22.224
28628,Friuli-Venezia-Giulia,ITA06SMTS1,13.6954,45.6487,5.556
28682,Friuli-Venezia-Giulia,ITA06SMTS2,13.6259,45.6375,11.112
28741,Friuli-Venezia-Giulia,ITA06SMTS3,13.487,45.615,22.224
28802,Friuli-Venezia-Giulia,ITA06SMLG1,13.181,45.6425,5.556
28876,Friuli-Venezia-Giulia,ITA06SMLG2,13.2327,45.6081,11.112
28948,Friuli-Venezia-Giulia,ITA06SMLG3,13.3176,45.5503,20.372
30582,Toscana,SMR_CPI_WA1,10.2079,43.7395,5.556
30644,Toscana,SMR_CPI_WA3,10.1393,43.7395,11.112
30702,Toscana,SMR_CPI_WA5,10.0011,43.7398,22.224
30759,Toscana,SMR_CCE_WA1,10.4691,43.1729,5.556
30823,Toscana,SMR_CCE_WA3,10.4018,43.1729,11.112
30894,Toscana,SMR_CCE_WA5,10.2632,43.1729,22.224
30950,Toscana,SMR_CFO_WA1,10.6546,42.9044,5.556
31001,Toscana,SMR_CFO_WA3,10.6191,42.8616,11.112
31054,Toscana,SMR_CFO_WA5,10.5469,42.7765,22.224
31090,Toscana,SMR_COM_WA1,11.0089,42.6061,5.556
31155,Toscana,SMR_COM_WA3,10.9587,42.5724,11.112
31206,Toscana,SMR_COM_WA5,10.8582,42.5049,22.224
31278,Campania,M1FV3,13.8695,40.996,5.556
31304,Campania,M1FV6,13.8124,40.9718,11.112
31323,Campania,M1FV12,13.6966,40.9315,22.224
31344,Campania,M1GN3,14.4076,40.7092,5.556
31373,Campania,M1GN6,14.3384,40.7114,11.112
31389,Campania,M1GN12,14.2063,40.699,22.224
31405,Campania,M1GS3,14.7844,40.5973,5.556
31417,Campania,M1GS6,14.7348,40.5656,11.112
31431,Campania,M1GS12,14.6364,40.4986,22.224
31442,Campania,M1CL3,15.2694,39.9972,5.556
31452,Campania,M1CL6,15.2194,39.9644,11.112
31465,Campania,M1CL12,15.1205,39.8986,22.224
31478,Veneto,50530,12.38,45.2883,3.0
31519,Veneto,60530,12.4504,45.2852,6.0
31569,Veneto,70530,12.592,45.278,12.0
31631,Veneto,50720,12.4172,45.0979,3.0
31672,Veneto,60720,12.4816,45.122,6.0
31708,Veneto,70720,12.6064,45.1676,12.0
32998,Molise,R14001_B2_6KM,14.963,42.0648,6.0
33027,Molise,R14001_B2_10KM,14.9752,42.1003,10.0
33063,Molise,R14001_B2_20KM,15.0022,42.1892,20.0
33453,Puglia,1CA02bis,15.6708,41.961,5.556
33507,Puglia,1CA03,15.7247,42.0113,11.112
33558,Puglia,1CA04,15.7849,42.0999,22.224
33603,Puglia,3FO02bis,16.2346,41.4038,5.556
33649,Puglia,3FO03,16.268,41.4459,11.112
